invoice_no,stock_code,description,quantity,invoice_date,unit_price,customer_id,country
537534,22476,EMPIRE UNION JACK TV DINNER TRAY,1,2010-12-07 11:48:00,0.0,,United Kingdom
537534,22473,TV DINNER TRAY VINTAGE PAISLEY,1,2010-12-07 11:48:00,0.0,,United Kingdom
537534,22474,SPACEBOY TV DINNER TRAY,1,2010-12-07 11:48:00,0.0,,United Kingdom
537534,22472,TV DINNER TRAY DOLLY GIRL,1,2010-12-07 11:48:00,0.0,,United Kingdom
537534,22514,CHILDS GARDEN SPADE BLUE,1,2010-12-07 11:48:00,0.0,,United Kingdom
537534,22516,CHILDS GARDEN RAKE BLUE,1,2010-12-07 11:48:00,0.0,,United Kingdom
537534,22432,WATERING CAN PINK BUNNY,1,2010-12-07 11:48:00,0.0,,United Kingdom
537534,22428,ENAMEL FIRE BUCKET CREAM,3,2010-12-07 11:48:00,0.0,,United Kingdom
537534,22427,ENAMEL FLOWER JUG CREAM,1,2010-12-07 11:48:00,0.0,,United Kingdom
537534,22376,AIRLINE BAG VINTAGE JET SET WHITE,1,2010-12-07 11:48:00,0.0,,United Kingdom
537534,22375,AIRLINE BAG VINTAGE JET SET BROWN,1,2010-12-07 11:48:00,0.0,,United Kingdom
537534,22372,AIRLINE BAG VINTAGE WORLD CHAMPION,1,2010-12-07 11:48:00,0.0,,United Kingdom
537534,22371,AIRLINE BAG VINTAGE TOKYO 78,5,2010-12-07 11:48:00,0.0,,United Kingdom
537534,22620,4 TRADITIONAL SPINNING TOPS,1,2010-12-07 11:48:00,0.0,,United Kingdom
537534,22624,IVORY KITCHEN SCALES,1,2010-12-07 11:48:00,0.0,,United Kingdom
537534,22109,FULL ENGLISH BREAKFAST PLATE,1,2010-12-07 11:48:00,0.0,,United Kingdom
537534,22367,CHILDRENS APRON SPACEBOY DESIGN,1,2010-12-07 11:48:00,0.0,,United Kingdom
537534,22366,DOORMAT AIRMAIL,1,2010-12-07 11:48:00,0.0,,United Kingdom
537534,22364,GLASS JAR DIGESTIVE BISCUITS,1,2010-12-07 11:48:00,0.0,,United Kingdom
537534,22362,GLASS JAR PEACOCK BATH SALTS,3,2010-12-07 11:48:00,0.0,,United Kingdom
537534,22360,GLASS JAR ENGLISH CONFECTIONERY,1,2010-12-07 11:48:00,0.0,,United Kingdom
537534,22361,GLASS JAR DAISY FRESH COTTON WOOL,2,2010-12-07 11:48:00,0.0,,United Kingdom
537534,22359,GLASS JAR KINGS CHOICE,1,2010-12-07 11:48:00,0.0,,United Kingdom
537534,22353,LUNCH BOX WITH CUTLERY FAIRY CAKES,1,2010-12-07 11:48:00,0.0,,United Kingdom
537534,22350,ILLUSTRATED CAT BOWL,1,2010-12-07 11:48:00,0.0,,United Kingdom
537534,22327,ROUND SNACK BOXES SET OF 4 SKULLS,1,2010-12-07 11:48:00,0.0,,United Kingdom
537534,21116,OWL DOORSTOP,1,2010-12-07 11:48:00,0.0,,United Kingdom
537534,22202,MILK PAN PINK POLKADOT,2,2010-12-07 11:48:00,0.0,,United Kingdom
537534,22550,HOLIDAY FUN LUDO,1,2010-12-07 11:48:00,0.0,,United Kingdom
537534,21912,VINTAGE SNAKES & LADDERS,1,2010-12-07 11:48:00,0.0,,United Kingdom
537534,21891,TRADITIONAL WOODEN SKIPPING ROPE,1,2010-12-07 11:48:00,0.0,,United Kingdom
537534,21559,STRAWBERRY LUNCH BOX WITH CUTLERY,1,2010-12-07 11:48:00,0.0,,United Kingdom
537534,21531,RED RETROSPOT SUGAR JAM BOWL,2,2010-12-07 11:48:00,0.0,,United Kingdom
537534,20726,LUNCH BAG WOODLAND,1,2010-12-07 11:48:00,0.0,,United Kingdom
537534,20652,BLUE POLKADOT LUGGAGE TAG,1,2010-12-07 11:48:00,0.0,,United Kingdom
537534,20615,BLUE POLKADOT PASSPORT COVER,1,2010-12-07 11:48:00,0.0,,United Kingdom
537639,22734,amazon,30,2010-12-07 15:29:00,0.0,,United Kingdom
537640,21232,STRAWBERRY CERAMIC TRINKET BOX,1,2010-12-07 15:31:00,0.0,,United Kingdom
537687,84840,Unknown product,-9,2010-12-08 10:26:00,0.0,,United Kingdom
537870,21486,Unknown product,-77,2010-12-08 17:08:00,0.0,,United Kingdom
537872,21595,Unknown product,1,2010-12-08 18:07:00,0.0,,United Kingdom
537873,37461,Unknown product,1,2010-12-08 18:07:00,0.0,,United Kingdom
537874,85170A,Unknown product,1,2010-12-08 18:07:00,0.0,,United Kingdom
537875,20849,Unknown product,1,2010-12-08 18:08:00,0.0,,United Kingdom
537876,84977,Unknown product,2,2010-12-08 18:08:00,0.0,,United Kingdom
537877,21661,Unknown product,1,2010-12-08 18:08:00,0.0,,United Kingdom
537878,72803B,Unknown product,1,2010-12-08 18:09:00,0.0,,United Kingdom
537999,22034,Unknown product,-223,2010-12-09 11:44:00,0.0,,United Kingdom
538001,35958,Unknown product,10,2010-12-09 11:45:00,0.0,,United Kingdom
538004,22114,Unknown product,144,2010-12-09 12:11:00,0.0,,United Kingdom
538036,21690,Unknown product,34,2010-12-09 13:04:00,0.0,,United Kingdom
538038,21488,Unknown product,8,2010-12-09 13:07:00,0.0,,United Kingdom
538039,22139,Unknown product,7,2010-12-09 13:07:00,0.0,,United Kingdom
538041,22145,Unknown product,30,2010-12-09 13:09:00,0.0,,United Kingdom
538042,21763,Unknown product,-4,2010-12-09 13:10:00,0.0,,United Kingdom
538043,22833,Unknown product,-1,2010-12-09 13:10:00,0.0,,United Kingdom
538045,84688,Unknown product,27,2010-12-09 13:11:00,0.0,,United Kingdom
538046,85008,Unknown product,-15,2010-12-09 13:12:00,0.0,,United Kingdom
538047,21429,Unknown product,-70,2010-12-09 13:13:00,0.0,,United Kingdom
538054,85167B,Unknown product,-24,2010-12-09 13:34:00,0.0,,United Kingdom
538055,22454,Unknown product,-20,2010-12-09 13:34:00,0.0,,United Kingdom
538058,20966,Unknown product,-150,2010-12-09 13:38:00,0.0,,United Kingdom
538061,21801,Unknown product,-38,2010-12-09 13:39:00,0.0,,United Kingdom
538071,22585,PACK OF 6 BIRDY GIFT TAGS,1,2010-12-09 14:09:00,0.0,,United Kingdom
538072,22423,faulty,-13,2010-12-09 14:10:00,0.0,,United Kingdom
538074,21743,Unknown product,-80,2010-12-09 14:11:00,0.0,,United Kingdom
538090,20956,?,-723,2010-12-09 14:48:00,0.0,,United Kingdom
538092,37467,Unknown product,-177,2010-12-09 14:49:00,0.0,,United Kingdom
538128,21357,Unknown product,46,2010-12-09 15:54:00,0.0,,United Kingdom
538129,84497,Unknown product,79,2010-12-09 15:55:00,0.0,,United Kingdom
538130,90042C,Unknown product,10,2010-12-09 15:55:00,0.0,,United Kingdom
538131,17091A,Unknown product,84,2010-12-09 15:56:00,0.0,,United Kingdom
538132,84773,Unknown product,3,2010-12-09 15:56:00,0.0,,United Kingdom
538133,85018C,Unknown product,3,2010-12-09 15:56:00,0.0,,United Kingdom
538134,20878,Unknown product,2,2010-12-09 15:56:00,0.0,,United Kingdom
538135,21186,Unknown product,2,2010-12-09 15:56:00,0.0,,United Kingdom
538136,37509,Unknown product,2,2010-12-09 15:57:00,0.0,,United Kingdom
538137,62095B,Unknown product,2,2010-12-09 15:57:00,0.0,,United Kingdom
538138,72814,Unknown product,2,2010-12-09 15:57:00,0.0,,United Kingdom
538139,84802A,Unknown product,2,2010-12-09 15:57:00,0.0,,United Kingdom
538140,90002D,Unknown product,9,2010-12-09 15:57:00,0.0,,United Kingdom
538141,22218,Unknown product,2,2010-12-09 15:58:00,0.0,,United Kingdom
538142,84247C,Unknown product,1,2010-12-09 15:58:00,0.0,,United Kingdom
538143,84534B,Unknown product,1,2010-12-09 15:58:00,0.0,,United Kingdom
538144,90042B,Unknown product,1,2010-12-09 15:58:00,0.0,,United Kingdom
538158,20892,Unknown product,-32,2010-12-09 17:17:00,0.0,,United Kingdom
538159,21324,Unknown product,-18,2010-12-09 17:17:00,0.0,,United Kingdom
538160,20956,Unknown product,288,2010-12-09 17:18:00,0.0,,United Kingdom
538161,46000S,Dotcom sales,-100,2010-12-09 17:25:00,0.0,,United Kingdom
538162,46000M,Dotcom sales,-100,2010-12-09 17:25:00,0.0,,United Kingdom
538173,22353,Unknown product,-28,2010-12-10 09:35:00,0.0,,United Kingdom
538241,21431,Unknown product,-21,2010-12-10 12:00:00,0.0,,United Kingdom
538247,79067,Unknown product,-145,2010-12-10 12:09:00,0.0,,United Kingdom
538249,85084,Unknown product,25,2010-12-10 12:19:00,0.0,,United Kingdom
538348,22734,amazon,30,2010-12-10 14:59:00,0.0,,United Kingdom
538359,35958,Unknown product,2,2010-12-10 16:29:00,0.0,,United Kingdom
538360,35004P,Unknown product,1,2010-12-10 16:29:00,0.0,,United Kingdom
538837,85135B,Unknown product,-40,2010-12-14 13:10:00,0.0,,United Kingdom
538861,22444,Unknown product,460,2010-12-14 14:04:00,0.0,,United Kingdom
538873,22734,amazon sales,20,2010-12-14 15:13:00,0.0,,United Kingdom
538877,21479,WHITE SKULL HOT WATER BOTTLE,1,2010-12-14 15:29:00,0.0,,United Kingdom
538877,22112,CHOCOLATE HOT WATER BOTTLE,1,2010-12-14 15:29:00,0.0,,United Kingdom
538877,22356,CHARLOTTE BAG PINK POLKADOT,1,2010-12-14 15:29:00,0.0,,United Kingdom
538906,21895,Unknown product,-5,2010-12-15 10:31:00,0.0,,United Kingdom
539263,22580,ADVENT CALENDAR GINGHAM SACK,4,2010-12-16 14:36:00,0.0,16560.0,United Kingdom
539413,22959,Unknown product,12,2010-12-17 13:44:00,0.0,,United Kingdom
539494,21479,?,752,2010-12-20 10:36:00,0.0,,United Kingdom
539495,22591,Unknown product,36,2010-12-20 10:37:00,0.0,,United Kingdom
539582,71477,Unknown product,8,2010-12-20 12:53:00,0.0,,United Kingdom
539583,35400,Unknown product,1,2010-12-20 12:53:00,0.0,,United Kingdom
539584,21491,Unknown product,1,2010-12-20 12:54:00,0.0,,United Kingdom
539585,21009,Unknown product,1,2010-12-20 12:54:00,0.0,,United Kingdom
539611,85135B,Found,53,2010-12-20 14:33:00,0.0,,United Kingdom
539638,22139,Unknown product,1,2010-12-20 15:23:00,0.0,,United Kingdom
539722,22423,REGENCY CAKESTAND 3 TIER,10,2010-12-21 13:45:00,0.0,14911.0,EIRE
539749,22734,Unknown product,30,2010-12-21 15:33:00,0.0,,United Kingdom
539750,22114,HOT WATER BOTTLE TEA AND SYMPATHY,1,2010-12-21 15:40:00,0.0,,United Kingdom
539750,22652,TRAVEL SEWING KIT,1,2010-12-21 15:40:00,0.0,,United Kingdom
539750,21080,SET/20 RED RETROSPOT PAPER NAPKINS,2,2010-12-21 15:40:00,0.0,,United Kingdom
539750,21481,FAWN BLUE HOT WATER BOTTLE,1,2010-12-21 15:40:00,0.0,,United Kingdom
539856,22444,GROW YOUR OWN PLANT IN A CAN,1,2010-12-22 14:41:00,0.0,,United Kingdom
539856,20682,RED RETROSPOT CHILDRENS UMBRELLA,2,2010-12-22 14:41:00,0.0,,United Kingdom
539856,20724,RED RETROSPOT CHARLOTTE BAG,2,2010-12-22 14:41:00,0.0,,United Kingdom
539856,18098C,PORCELAIN BUTTERFLY OIL BURNER,2,2010-12-22 14:41:00,0.0,,United Kingdom
539856,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1,2010-12-22 14:41:00,0.0,,United Kingdom
539856,84968E,SET OF 16 VINTAGE BLACK CUTLERY,1,2010-12-22 14:41:00,0.0,,United Kingdom
539856,84872A,TEATIME FUNKY FLOWER BACKPACK FOR 2,2,2010-12-22 14:41:00,0.0,,United Kingdom
539856,22518,CHILDS GARDEN BRUSH BLUE,1,2010-12-22 14:41:00,0.0,,United Kingdom
539856,84692,BOX OF 24 COCKTAIL PARASOLS,2,2010-12-22 14:41:00,0.0,,United Kingdom
539856,79321,CHILLI LIGHTS,1,2010-12-22 14:41:00,0.0,,United Kingdom
539856,48194,DOORMAT HEARTS,2,2010-12-22 14:41:00,0.0,,United Kingdom
539856,37333,"RETRO ""TEA FOR ONE""",1,2010-12-22 14:41:00,0.0,,United Kingdom
539856,22843,BISCUIT TIN VINTAGE GREEN,1,2010-12-22 14:41:00,0.0,,United Kingdom
539856,22842,BISCUIT TIN VINTAGE RED,1,2010-12-22 14:41:00,0.0,,United Kingdom
539856,22690,DOORMAT HOME SWEET HOME BLUE,2,2010-12-22 14:41:00,0.0,,United Kingdom
539856,85099B,JUMBO BAG RED RETROSPOT,1,2010-12-22 14:41:00,0.0,,United Kingdom
539856,22685,FRENCH BLUE METAL DOOR SIGN 0,2,2010-12-22 14:41:00,0.0,,United Kingdom
539856,22684,FRENCH BLUE METAL DOOR SIGN 9,1,2010-12-22 14:41:00,0.0,,United Kingdom
539856,22686,FRENCH BLUE METAL DOOR SIGN No,2,2010-12-22 14:41:00,0.0,,United Kingdom
539856,22682,FRENCH BLUE METAL DOOR SIGN 7,3,2010-12-22 14:41:00,0.0,,United Kingdom
539856,22683,FRENCH BLUE METAL DOOR SIGN 8,2,2010-12-22 14:41:00,0.0,,United Kingdom
539856,22681,FRENCH BLUE METAL DOOR SIGN 6,1,2010-12-22 14:41:00,0.0,,United Kingdom
539856,22679,FRENCH BLUE METAL DOOR SIGN 4,2,2010-12-22 14:41:00,0.0,,United Kingdom
539856,22678,FRENCH BLUE METAL DOOR SIGN 3,2,2010-12-22 14:41:00,0.0,,United Kingdom
539856,22680,FRENCH BLUE METAL DOOR SIGN 5,1,2010-12-22 14:41:00,0.0,,United Kingdom
539856,22677,FRENCH BLUE METAL DOOR SIGN 2,6,2010-12-22 14:41:00,0.0,,United Kingdom
539856,22676,FRENCH BLUE METAL DOOR SIGN 1,5,2010-12-22 14:41:00,0.0,,United Kingdom
539856,22666,RECIPE BOX PANTRY YELLOW DESIGN,7,2010-12-22 14:41:00,0.0,,United Kingdom
539856,22665,RECIPE BOX BLUE SKETCHBOOK DESIGN,2,2010-12-22 14:41:00,0.0,,United Kingdom
539856,22650,CERAMIC PIRATE CHEST MONEY BANK,1,2010-12-22 14:41:00,0.0,,United Kingdom
539856,22647,CERAMIC LOVE HEART MONEY BANK,1,2010-12-22 14:41:00,0.0,,United Kingdom
539856,22626,BLACK KITCHEN SCALES,3,2010-12-22 14:41:00,0.0,,United Kingdom
539856,22625,RED KITCHEN SCALES,7,2010-12-22 14:41:00,0.0,,United Kingdom
539856,22624,IVORY KITCHEN SCALES,3,2010-12-22 14:41:00,0.0,,United Kingdom
539856,22619,SET OF 6 SOLDIER SKITTLES,1,2010-12-22 14:41:00,0.0,,United Kingdom
539856,22526,WHEELBARROW FOR CHILDREN,1,2010-12-22 14:41:00,0.0,,United Kingdom
539856,22525,CHILDRENS GARDEN GLOVES PINK,3,2010-12-22 14:41:00,0.0,,United Kingdom
539856,22524,CHILDRENS GARDEN GLOVES BLUE,1,2010-12-22 14:41:00,0.0,,United Kingdom
539856,22514,CHILDS GARDEN SPADE BLUE,1,2010-12-22 14:41:00,0.0,,United Kingdom
539856,22512,DOORSTOP RACING CAR DESIGN,1,2010-12-22 14:41:00,0.0,,United Kingdom
539856,22475,SKULL DESIGN TV DINNER TRAY,5,2010-12-22 14:41:00,0.0,,United Kingdom
539856,22431,WATERING CAN BLUE ELEPHANT,1,2010-12-22 14:41:00,0.0,,United Kingdom
539856,22428,ENAMEL FIRE BUCKET CREAM,4,2010-12-22 14:41:00,0.0,,United Kingdom
539856,22426,ENAMEL WASH BOWL CREAM,2,2010-12-22 14:41:00,0.0,,United Kingdom
539856,22374,AIRLINE BAG VINTAGE JET SET RED,3,2010-12-22 14:41:00,0.0,,United Kingdom
539856,22375,AIRLINE BAG VINTAGE JET SET BROWN,3,2010-12-22 14:41:00,0.0,,United Kingdom
539856,22372,AIRLINE BAG VINTAGE WORLD CHAMPION,1,2010-12-22 14:41:00,0.0,,United Kingdom
539856,22371,AIRLINE BAG VINTAGE TOKYO 78,3,2010-12-22 14:41:00,0.0,,United Kingdom
539856,22367,CHILDRENS APRON SPACEBOY DESIGN,2,2010-12-22 14:41:00,0.0,,United Kingdom
539856,22361,GLASS JAR DAISY FRESH COTTON WOOL,2,2010-12-22 14:41:00,0.0,,United Kingdom
539856,22360,GLASS JAR ENGLISH CONFECTIONERY,1,2010-12-22 14:41:00,0.0,,United Kingdom
539856,22357,KINGS CHOICE BISCUIT TIN,7,2010-12-22 14:41:00,0.0,,United Kingdom
539856,22350,ILLUSTRATED CAT BOWL,1,2010-12-22 14:41:00,0.0,,United Kingdom
539856,22327,ROUND SNACK BOXES SET OF 4 SKULLS,1,2010-12-22 14:41:00,0.0,,United Kingdom
539856,22072,RED RETROSPOT TEA CUP AND SAUCER,1,2010-12-22 14:41:00,0.0,,United Kingdom
539856,21912,VINTAGE SNAKES & LADDERS,1,2010-12-22 14:41:00,0.0,,United Kingdom
539856,21791,VINTAGE HEADS AND TAILS CARD GAME,1,2010-12-22 14:41:00,0.0,,United Kingdom
539856,22550,HOLIDAY FUN LUDO,1,2010-12-22 14:41:00,0.0,,United Kingdom
539856,21888,BINGO SET,2,2010-12-22 14:41:00,0.0,,United Kingdom
539856,21539,RED RETROSPOT BUTTER DISH,3,2010-12-22 14:41:00,0.0,,United Kingdom
539856,21258,VICTORIAN SEWING BOX LARGE,3,2010-12-22 14:41:00,0.0,,United Kingdom
539856,21116,OWL DOORSTOP,1,2010-12-22 14:41:00,0.0,,United Kingdom
539856,20719,WOODLAND CHARLOTTE BAG,1,2010-12-22 14:41:00,0.0,,United Kingdom
539980,35001W,Unknown product,-36,2010-12-23 14:34:00,0.0,,United Kingdom
539994,22830,Unknown product,-1,2011-01-04 10:09:00,0.0,,United Kingdom
539995,85064,Unknown product,-12,2011-01-04 10:12:00,0.0,,United Kingdom
539996,21784,Unknown product,-10,2011-01-04 10:12:00,0.0,,United Kingdom
539997,84689,Unknown product,5,2011-01-04 10:15:00,0.0,,United Kingdom
539998,84675,Unknown product,2,2011-01-04 10:16:00,0.0,,United Kingdom
539999,20892,Unknown product,-1,2011-01-04 10:16:00,0.0,,United Kingdom
540000,84499,Unknown product,-9,2011-01-04 10:17:00,0.0,,United Kingdom
540008,85230F,Unknown product,-48,2011-01-04 11:10:00,0.0,,United Kingdom
540009,22158,Unknown product,-120,2011-01-04 11:10:00,0.0,,United Kingdom
540010,22501,reverse 21/5/10 adjustment,-100,2011-01-04 11:13:00,0.0,,United Kingdom
540011,22501,Unknown product,30,2011-01-04 11:13:00,0.0,,United Kingdom
540012,22502,reverse 21/5/10 adjustment,-100,2011-01-04 11:14:00,0.0,,United Kingdom
540018,90112,Unknown product,2,2011-01-04 12:07:00,0.0,,United Kingdom
540100,22837,?,-106,2011-01-04 16:53:00,0.0,,United Kingdom
540119,22865,Unknown product,-60,2011-01-05 10:07:00,0.0,,United Kingdom
540241,35957,Unknown product,-939,2011-01-05 15:17:00,0.0,,United Kingdom
540252,22198,Unknown product,-100,2011-01-05 16:25:00,0.0,,United Kingdom
540256,35957,Unknown product,35,2011-01-05 17:21:00,0.0,,United Kingdom
540272,90096,Unknown product,-54,2011-01-06 11:57:00,0.0,,United Kingdom
540355,20724,RED RETROSPOT CHARLOTTE BAG,1,2011-01-06 15:11:00,0.0,,United Kingdom
540356,20724,RED RETROSPOT CHARLOTTE BAG,1,2011-01-06 15:12:00,0.0,,United Kingdom
540369,47591D,Unknown product,-201,2011-01-06 16:20:00,0.0,,United Kingdom
540372,22090,PAPER BUNTING RETROSPOT,24,2011-01-06 16:41:00,0.0,13081.0,United Kingdom
540372,22553,PLASTERS IN TIN SKULLS,24,2011-01-06 16:41:00,0.0,13081.0,United Kingdom
540549,21587,Unknown product,-53,2011-01-10 09:07:00,0.0,,United Kingdom
540558,21258,?,-29,2011-01-10 10:04:00,0.0,,United Kingdom
540560,21589,Unknown product,-14,2011-01-10 10:08:00,0.0,,United Kingdom
540564,22617,"mouldy, thrown away.",-2600,2011-01-10 10:36:00,0.0,,United Kingdom
540637,21275,Unknown product,-5,2011-01-10 12:13:00,0.0,,United Kingdom
540638,72038P,damages,-990,2011-01-10 12:14:00,0.0,,United Kingdom
540650,85124C,Unknown product,-8,2011-01-10 14:59:00,0.0,,United Kingdom
540651,82599,?,-290,2011-01-10 15:00:00,0.0,,United Kingdom
540673,21644,found,144,2011-01-10 16:04:00,0.0,,United Kingdom
